RunNumber 	 Succeeded? 	 Generalized? 	 StepLimit 	 TotalError 	 NumFailedCases 	 FailedByStepLimit
0	false	false	1900	1163	1049	0
0	false	false	1901	1163	1049	0
0	false	false	1902	1163	1049	0
0	false	false	1903	1163	1049	0
0	false	false	1904	1163	1049	0
0	false	false	1905	1163	1049	0
0	false	false	1906	1163	1049	0
0	false	false	1907	1163	1049	0
0	false	false	1908	1163	1049	0
0	false	false	1909	1163	1049	0
0	false	false	1910	1163	1049	0
0	false	false	1911	1163	1049	0
0	false	false	1912	1163	1049	0
0	false	false	1913	1163	1049	0
0	false	false	1914	1163	1049	0
0	false	false	1915	1163	1049	0
0	false	false	1916	1163	1049	0
0	false	false	1917	1163	1049	0
0	false	false	1918	1163	1049	0
0	false	false	1919	1163	1049	0
0	false	false	1920	1163	1049	0
0	false	false	1921	1163	1049	0
0	false	false	1922	1163	1049	0
0	false	false	1923	1163	1049	0
0	false	false	1924	1163	1049	0
0	false	false	1925	1163	1049	0
0	false	false	1926	1163	1049	0
0	false	false	1927	1163	1049	0
0	false	false	1928	1163	1049	0
0	false	false	1929	1163	1049	0
0	false	false	1930	1163	1049	0
0	false	false	1931	1163	1049	0
0	false	false	1932	1163	1049	0
0	false	false	1933	1163	1049	0
0	false	false	1934	1163	1049	0
0	false	false	1935	1163	1049	0
0	false	false	1936	1163	1049	0
0	false	false	1937	1163	1049	0
0	false	false	1938	1163	1049	0
0	false	false	1939	1163	1049	0
0	false	false	1940	1163	1049	0
0	false	false	1941	1163	1049	0
0	false	false	1942	1163	1049	0
0	false	false	1943	1163	1049	0
0	false	false	1944	1163	1049	0
0	false	false	1945	1163	1049	0
0	false	false	1946	1163	1049	0
0	false	false	1947	1163	1049	0
0	false	false	1948	1163	1049	0
0	false	false	1949	1163	1049	0
0	false	false	1950	1163	1049	0
0	false	false	1951	1163	1049	0
0	false	false	1952	1163	1049	0
0	false	false	1953	1163	1049	0
0	false	false	1954	1163	1049	0
0	false	false	1955	1163	1049	0
0	false	false	1956	1163	1049	0
0	false	false	1957	1163	1049	0
0	false	false	1958	1163	1049	0
0	false	false	1959	1163	1049	0
0	false	false	1960	1163	1049	0
0	false	false	1961	1163	1049	0
0	false	false	1962	1163	1049	0
0	false	false	1963	1163	1049	0
0	false	false	1964	1163	1049	0
0	false	false	1965	1163	1049	0
0	false	false	1966	1163	1049	0
0	false	false	1967	1163	1049	0
0	false	false	1968	1163	1049	0
0	false	false	1969	1163	1049	0
0	false	false	1970	1163	1049	0
0	false	false	1971	1163	1049	0
0	false	false	1972	1163	1049	0
0	false	false	1973	1163	1049	0
0	false	false	1974	1163	1049	0
0	false	false	1975	1163	1049	0
0	false	false	1976	1163	1049	0
0	false	false	1977	1163	1049	0
0	false	false	1978	1163	1049	0
0	false	false	1979	1163	1049	0
0	false	false	1980	1163	1049	0
0	false	false	1981	1163	1049	0
0	false	false	1982	1163	1049	0
0	false	false	1983	1163	1049	0
0	false	false	1984	1163	1049	0
0	false	false	1985	1163	1049	0
0	false	false	1986	1163	1049	0
0	false	false	1987	1163	1049	0
0	false	false	1988	1163	1049	0
0	false	false	1989	1163	1049	0
0	false	false	1990	1163	1049	0
0	false	false	1991	1163	1049	0
0	false	false	1992	1163	1049	0
0	false	false	1993	1163	1049	0
