RunNumber 	 Succeeded? 	 Generalized? 	 StepLimit 	 TotalError 	 NumFailedCases 	 FailedByStepLimit
0	true	false	700	16	8	8
0	true	false	701	16	8	8
0	true	false	702	16	8	8
0	true	false	703	16	8	8
0	true	false	704	16	8	8
0	true	false	705	16	8	8
0	true	false	706	2000	1996	1996
0	true	false	707	2000	1996	1996
0	true	false	708	1010885538	2000	2000
0	true	false	709	1010885538	2000	2000
0	true	false	710	1010885538	2000	2000
0	true	false	711	2000	1996	1996
0	true	false	712	2000	1996	1996
0	true	false	713	2000	1996	1996
0	true	false	714	2000	1996	1996
0	true	false	715	2000	1996	1996
0	true	false	716	2000	1996	1996
0	true	false	717	2000	1996	1996
0	true	false	718	16	8	8
0	true	false	719	16	8	8
0	true	false	720	16	8	8
0	true	false	721	16	8	8
0	true	false	722	16	8	8
0	true	false	723	16	8	8
0	true	false	724	16	8	8
0	true	false	725	16	8	8
0	true	false	726	16	8	0
0	true	false	727	16	8	0
0	true	false	728	16	8	0
0	true	false	729	16	8	0
0	true	false	730	16	8	0
0	true	false	731	16	8	0
0	true	false	732	16	8	0
0	true	false	733	16	8	0
0	true	false	734	16	8	0
0	true	false	735	16	8	0
0	true	false	736	16	8	0
0	true	false	737	16	8	0
0	true	false	738	16	8	0
0	true	false	739	16	8	0
0	true	false	740	16	8	0
0	true	false	741	16	8	0
0	true	false	742	16	8	0
0	true	false	743	16	8	0
0	true	false	744	16	8	0
0	true	false	745	16	8	0
0	true	false	746	16	8	0
0	true	false	747	16	8	0
0	true	false	748	16	8	0
0	true	false	749	16	8	0
0	true	false	750	16	8	0
0	true	false	751	16	8	0
0	true	false	752	16	8	0
0	true	false	753	16	8	0
0	true	false	754	16	8	0
0	true	false	755	16	8	0
0	true	false	756	16	8	0
0	true	false	757	16	8	0
0	true	false	758	16	8	0
0	true	false	759	16	8	0
0	true	false	760	16	8	0
0	true	false	761	16	8	0
0	true	false	762	16	8	0
0	true	false	763	16	8	0
0	true	false	764	16	8	0
0	true	false	765	16	8	0
0	true	false	766	16	8	0
0	true	false	767	16	8	0
0	true	false	768	16	8	0
0	true	false	769	16	8	0
0	true	false	770	16	8	0
0	true	false	771	16	8	0
0	true	false	772	16	8	0
0	true	false	773	16	8	0
0	true	false	774	16	8	0
0	true	false	775	16	8	0
0	true	false	776	16	8	0
0	true	false	777	16	8	0
0	true	false	778	16	8	0
0	true	false	779	16	8	0
0	true	false	780	16	8	0
0	true	false	781	16	8	0
0	true	false	782	16	8	0
0	true	false	783	16	8	0
0	true	false	784	16	8	0
0	true	false	785	16	8	0
0	true	false	786	16	8	0
0	true	false	787	16	8	0
0	true	false	788	16	8	0
0	true	false	789	16	8	0
0	true	false	790	16	8	0
0	true	false	791	16	8	0
0	true	false	792	16	8	0
0	true	false	793	16	8	0
0	true	false	794	16	8	0
0	true	false	795	16	8	0
0	true	false	796	16	8	0
0	true	false	797	16	8	0
0	true	false	798	16	8	0
0	true	false	799	16	8	0
0	true	false	800	16	8	0
0	true	false	801	16	8	0
0	true	false	802	16	8	0
0	true	false	803	16	8	0
0	true	false	804	16	8	0
0	true	false	805	16	8	0
0	true	false	806	16	8	0
0	true	false	807	16	8	0
0	true	false	808	16	8	0
0	true	false	809	16	8	0
0	true	false	810	16	8	0
0	true	false	811	16	8	0
0	true	false	812	16	8	0
0	true	false	813	16	8	0
0	true	false	814	16	8	0
0	true	false	815	16	8	0
0	true	false	816	16	8	0
0	true	false	817	16	8	0
0	true	false	818	16	8	0
0	true	false	819	16	8	0
0	true	false	820	16	8	0
0	true	false	821	16	8	0
0	true	false	822	16	8	0
0	true	false	823	16	8	0
0	true	false	824	16	8	0
0	true	false	825	16	8	0
0	true	false	826	16	8	0
0	true	false	827	16	8	0
0	true	false	828	16	8	0
0	true	false	829	16	8	0
0	true	false	830	16	8	0
0	true	false	831	16	8	0
0	true	false	832	16	8	0
0	true	false	833	16	8	0
0	true	false	834	16	8	0
0	true	false	835	16	8	0
0	true	false	836	16	8	0
0	true	false	837	16	8	0
0	true	false	838	16	8	0
0	true	false	839	16	8	0
0	true	false	840	16	8	0
0	true	false	841	16	8	0
0	true	false	842	16	8	0
0	true	false	843	16	8	0
0	true	false	844	16	8	0
0	true	false	845	16	8	0
0	true	false	846	16	8	0
0	true	false	847	16	8	0
0	true	false	848	16	8	0
0	true	false	849	16	8	0
0	true	false	850	16	8	0
0	true	false	851	16	8	0
0	true	false	852	16	8	0
0	true	false	853	16	8	0
0	true	false	854	16	8	0
0	true	false	855	16	8	0
0	true	false	856	16	8	0
0	true	false	857	16	8	0
0	true	false	858	16	8	0
0	true	false	859	16	8	0
0	true	false	860	16	8	0
0	true	false	861	16	8	0
0	true	false	862	16	8	0
0	true	false	863	16	8	0
0	true	false	864	16	8	0
0	true	false	865	16	8	0
0	true	false	866	16	8	0
0	true	false	867	16	8	0
0	true	false	868	16	8	0
0	true	false	869	16	8	0
0	true	false	870	16	8	0
0	true	false	871	16	8	0
0	true	false	872	16	8	0
0	true	false	873	16	8	0
0	true	false	874	16	8	0
0	true	false	875	16	8	0
0	true	false	876	16	8	0
0	true	false	877	16	8	0
0	true	false	878	16	8	0
0	true	false	879	16	8	0
0	true	false	880	16	8	0
0	true	false	881	16	8	0
0	true	false	882	16	8	0
0	true	false	883	16	8	0
0	true	false	884	16	8	0
0	true	false	885	16	8	0
0	true	false	886	16	8	0
0	true	false	887	16	8	0
0	true	false	888	16	8	0
0	true	false	889	16	8	0
0	true	false	890	16	8	0
0	true	false	891	16	8	0
0	true	false	892	16	8	0
0	true	false	893	16	8	0
0	true	false	894	16	8	0
0	true	false	895	16	8	0
0	true	false	896	16	8	0
0	true	false	897	16	8	0
0	true	false	898	16	8	0
0	true	false	899	16	8	0
0	true	false	900	16	8	0
10	false	false	700	11986	773	0
10	false	false	701	11986	773	0
10	false	false	702	11986	773	0
10	false	false	703	11986	773	0
10	false	false	704	11986	773	0
10	false	false	705	11986	773	0
10	false	false	706	11986	773	0
10	false	false	707	11986	773	0
10	false	false	708	11986	773	0
10	false	false	709	11986	773	0
10	false	false	710	11986	773	0
10	false	false	711	11986	773	0
10	false	false	712	11986	773	0
10	false	false	713	11986	773	0
10	false	false	714	11986	773	0
10	false	false	715	11986	773	0
10	false	false	716	11986	773	0
10	false	false	717	11986	773	0
10	false	false	718	11986	773	0
10	false	false	719	11986	773	0
10	false	false	720	11986	773	0
10	false	false	721	11986	773	0
10	false	false	722	11986	773	0
10	false	false	723	11986	773	0
10	false	false	724	11986	773	0
10	false	false	725	11986	773	0
10	false	false	726	11986	773	0
10	false	false	727	11986	773	0
10	false	false	728	11986	773	0
10	false	false	729	11986	773	0
10	false	false	730	11986	773	0
10	false	false	731	11986	773	0
10	false	false	732	11986	773	0
10	false	false	733	11986	773	0
10	false	false	734	11986	773	0
